A,B,Label
集合 (数学),交换律,0
二次函数,函数图形,0
数学,解析几何,0
数,代数,0
几何学,数学,1
像 (数学),向量场,0
角,直角,0
圆,离心率,0
位置向量,向量,1
数学,奇函数与偶函数,0
单调函数,数学,1
周期函数,数学,1
数学,线段,0
指数增长,函数,1
全距,数学,1
乘法,综合除法,0
极坐标系,几何学,1
函数,定义域,0
数学,二项式系数,0
数,笛卡尔坐标系,0
基 (线性代数),数学,1
数学,矩形,0
方程,不等,0
多项式,方程,0
方程求解,数,1
加法,整数,0
三角形,点,1
加法,二项式定理,0
数学,积,0
多项式除法,多项式,1
向量场,实数,0
复数 (数学),倒数,0
自然数,集合建构式符号,0
代数基本定理,数学,1
自然对数,常用对数,0
对数,正弦,0
圆,圆周运动,0
实数,共轭复数,0
多项式除法,数,1
有理函数,实数,0
三角学,正弦,0
圆锥,数学,1
正弦定理,面积,0
几何学,半径,0
数学,代数式,0
平方,平方根,0
代数方程,数,1
算术,数学公式,0
垂直,圆锥,0
相等,代数方程,0
数学,综合除法,0
三角换元法,三角函数,1
方根,平方根,0
乘法,倒数,0
代数式,多项式,1
线段,直角三角形,0
乘法,二项式系数,0
方块矩阵,单位矩阵,0
正弦,笛卡尔坐标系,0
有理数,正弦,0
单位矩阵,初等矩阵,0
全距,像 (数学),0
半径,直线,1
直线,方程,0
数学,三角换元法,0
正弦,正弦曲线,0
点积,乘法,1
整数,二项式定理,0
相等,一次方程,0
叉积,数,1
渐近线,多项式除法,0
标量乘法,乘法,1
圆周运动,几何学,1
扇形,数学,1
数,扩展实数线,0
矩阵环,数,1
数,因式分解,0
参数方程,数学,1
角,解析几何,0
极值,实数,0
数学,圆,0
二次方程,一元二次方程,1
极限 (数学),功,0
积空间,算术,1
表示式,数学,1
代数式,有理数,0
数,分配律,0
除法,数,1
常用对数,乘法,1
加法,齐次多项式,0
自然数,实数,0
函数,奇函数与偶函数,0
综合除法,整数,1
不等,方程,1
相等,数学,1
直线,圆锥,0
数,加法,0
几何学,反三角函数,0
实数,定义域,0
多项式除法,除法,1
正弦曲线,正弦,1
交换律,函数,0
线段,圆柱体,0
全距,定义域,0
分母有理化,方根,0
三角学,正弦定理,0
平方根,笛卡尔坐标系,0
数,微分方程,0
多项式,二次方程,0
数学,除以零,0
数学,级数,0
指数函数,科学记数法,0
实数,闭集,0
割线,微积分学,0
二项式定理,整数,1
垂线测试,函数,1
幂,常用对数,0
标量 (数学),实数,0
数学,数学公式,0
指数函数,幂,1
数,常用对数,0
角,数学,1
几何学,三角换元法,0
复数 (数学),自然数,0
平面 (数学),极坐标系,0
除法,综合除法,0
幂,集合 (数学),0
减法,算术,1
积,点积,0
直角,数学,1
乘法,科学记数法,0
数,极坐标系,0
整数,集合 (数学),0
指数函数,对数,0
平面曲线,平面 (数学),1
奇函数与偶函数,函数图形,0
幂,指数增长,0
函数,实数,0
E (数学常数),自然对数,0
函数,单调函数,0
一元二次方程,数学,1
方程,微分方程,0
边 (几何),线段,1
函数,反函数,0
多项式,乘法,1
平方根,平方,1
自变量和因变量,数学,1
数学,离心率,0
数学,椭圆,0
矩阵环,数学,1
几何学,垂直,0
指数函数,乘法,1
三次函数,函数,1
象限角,数,1
多项式,齐次多项式,0
数,坐标系,0
区间,空集,0
坐标系,方程,0
数,线性方程组,0
笛卡尔坐标系,距离,1
数学,单位圆,0
几何学,线段,0
根 (数学),数学,1
幂,有理数,0
振幅,位移,0
三角学,反三角函数,0
幂,指数函数,0
对数,加法,0
代数,代数式,0
割线,直线,1
直线,圆锥曲线,0
垂直,笛卡尔坐标系,0
数学,微分方程,0
复数 (数学),恒等式,0
勾股定理,数学,1
方程求解,定义域,0
加法,矩阵环,0
对数,恒等式,0
数学,三次函数,0
数学,恒等式,0
几何学,定向 (几何),0
方程,线性方程组,0
平方,数,1
垂直,直线,1
数学,对数,0
几何学,单位圆,0
几何学,圆周运动,0
开集,集合 (数学),1
旋转,数学,1
几何学,矩形,0
一元二次方程,方根,0
方程,几何学,0
数学,笛卡尔坐标系,0
全距,极限 (数学),0
整数,代数式,0
数学,旋转,0
代数式,算术,1
质数,多项式除法,0
子式和余子式,矩阵,1
复数 (数学),减法,0
半径,几何学,1
取整函数,二项式系数,0
垂线测试,几何学,1
综合除法,因式分解,0
二项式定理,多项式,1
平行,直线,1
多项式,加法,1
矩阵,方块矩阵,0
乘法,空集,0
性质符号,逆元素,0
综合除法,数学,1
负数,减法,0
垂直,解析几何,0
扇形,曲线,1
半径,线段,1
一次方程,直线,1
自然对数,E (数学常数),1
根 (数学),函数图形,0
圆,圆锥曲线,0
奇偶性 (数学),平方,0
虚数,实数,1
坐标系,向量场,0
二进制,数,1
算术,积,0
距离,笛卡尔坐标系,0
直角,角,1
对称,几何学,0
以2为底的对数,常用对数,0
整数,函数,0
矩阵环,加法,1
椭圆,曲线,1
二项式系数,二项式定理,1
边 (几何),直线,1
几何学,正弦,0
一次方程,函数图形,0
几何学,直线,0
三角形,几何学,1
方程,代数方程,0
加法,方程,0
无穷,极限 (数学),0
多项式,整数,1
数,积,0
部分分式分解,多项式除法,0
笛卡尔坐标系,垂直,1
多项式,代数基本定理,0
几何学,离心率,0
定义域,笛卡尔坐标系,0
数学,算术平均数,0
函数,函数极限,0
代数基本定理,实数,1
代数式,减法,0
相等,恒等式,0
叉积,实数,0
除法,实数,0
数学,求和符号,0
乘法,交换律,0
乘法,以2为底的对数,0
对数,自然数,0
圆锥,几何学,1
一次方程,复数 (数学),0
空和,求和符号,1
函数图形,垂线测试,0
整数,有理数,0
结合律,实数,0
方程求解,空集,0
叉积,算术,1
以2为底的对数,算术,1
点,弦 (几何),0
质数,以2为底的对数,0
积,算术,1
相等,方程,0
数学,积空间,0
二项式定理,数学,1
除法,不等,0
矩阵乘法,主对角线,0
三角学,数学,1
复数 (数学),除法,0
单位圆,曲线,1
正弦定理,圆,0
算术,指数函数,0
单射,反函数,0
直角三角形,几何学,1
数,除以零,0
多边形,数学,1
函数,反三角函数,0
勾股定理,反三角函数,0
结合律,加法,0
矩阵,矩阵乘法,0
代数式,实数,0
有理数,方程求解,0
平面 (数学),平面曲线,0
等比数列,几何学,0
标量乘法,初等矩阵,0
数学,分段,0
幂,笛卡尔坐标系,0
乘法,多项式,0
一次方程,垂线测试,0
E (数学常数),实数,0
方程求解,相等,1
数学,倒数,0
函数,不等,0
奇函数与偶函数,函数,1
复数 (数学),集合 (数学),0
圆,直线,1
除以零,除法,1
恒等式,数学,1
区间,闭集,0
解析几何,几何学,1
坐标系,数,1
方程,函数,0
整数,自然数,0
矩阵,矩阵环,0
叉积,数学,1
求和符号,算术,1
乘法,积,0
幂,恒等式,0
算术,矩阵环,0
取整函数,级数,0
实数,函数图形,0
几何学,原点,0
数学,指数函数,0
数,叉积,0
复数 (数学),有理数,0
绝对值,实数,1
功,微积分学,0
结合律,幂,0
数学,正弦,0
矩阵,行列式,0
笛卡尔坐标系,数,1
数,乘法,0
数学,数学证明,0
结合律,代数式,0
弦 (几何),曲线,1
数学,微积分学,0
积,叉积,0
E (数学常数),数,1
幂,以2为底的对数,0
幂,数,1
数学,运算,0
平面 (数学),复平面,0
函数图形,象限角,0
极限 (数学),函数极限,0
部分分式分解,整数,1
乘法,标量乘法,0
代数基本定理,方程,1
加法,不等,0
平面曲线,渐近线,0
笛卡儿符号法则,实数,0
数,绝对值,0
集合 (数学),集合建构式符号,0
微分方程,相等,1
解析几何,平面 (数学),1
几何学,一次方程,0
复数 (数学),方程,0
平方根,勾股定理,0
以2为底的对数,幂,1
数,参数方程,0
集合 (数学),方程求解,0
非奇异方阵,矩阵,1
加法,代数式,0
复数 (数学),交换律,0
勾股定理,有理数,0
以2为底的对数,科学记数法,0
复数 (数学),有理函数,0
积空间,积,1
算术,算术平均数,0
多项式,根 (数学),0
加法,算术,1
集合 (数学),闭集,0
指数增长,数学,1
逆元素,性质符号,1
割线,区间,0
象限角,数学,1
线性方程组,几何学,1
向量场,导数,0
椭圆,直线,1
复数 (数学),共轭复数,0
矩阵乘法,算术,1
数学,幂,0
数,自然对数,0
向量,位置向量,0
离心率,圆,1
力,简谐运动,0
有理数,E (数学常数),0
线性方程组,方程,1
微积分学,函数极限,0
单位圆,直线,1
函数,单射,0
双曲线,圆锥,0
数学,曲线,0
几何学,直角,0
自然对数,数学,1
平方根,函数,0
多边形,点,1
平方根,几何学,0
曲线,离心率,0
数,基 (线性代数),0
三角形,数学,1
平方根,二次函数,0
函数,自变量和因变量,0
集合建构式符号,实数,0
幂,函数,0
数,有理数,0
函数,常数函数,0
乘法,数,1
数学,半径,0
开集,区间,0
复合函数,函数,1
一元二次方程,负数,0
数学,齐次多项式,0
圆,有理数,0
一次方程,相等,1
平方,数学,1
代数式,加法,1
多项式除法,加法,1
加法,初等矩阵,0
数学,平方根,0
除以零,数,1
对数,复数 (数学),0
指数函数,实数,0
渐近线,曲线,1
圆,弦 (几何),0
数,二进制,0
负数,距离,0
圆,圆锥,0
数,以2为底的对数,0
代数式,E (数学常数),0
一次方程,数,1
自然对数,乘法,1
多项式,实数,0
一元二次方程,相等,1
线段,多边形,0
相等,代数基本定理,0
科学记数法,E (数学常数),0
代数式,平方,1
数学,取整函数,0
解析几何,相等,1
整数,多项式除法,0
直角,直角三角形,0
集合 (数学),距离,0
圆,曲线,1
数,二项式定理,0
算术,二次方程,0
点,原点,0
平方根,一元二次方程,0
二项式系数,加法,1
开集,定义域,0
算术,以2为底的对数,0
多项式除法,因式分解,0
乘法,点积,0
自然对数,对数,1
数学,笛卡儿符号法则,0
正弦曲线,三角学,1
代数,平方根,0
自然数,负数,0
因式分解,算术,1
数学,常数函数,0
微分方程,方程,1
自然数,有理数,0
平方根,反三角函数,0
平方根,代数,1
直线,垂线测试,0
数,方程求解,0
代数基本定理,加法,1
基 (线性代数),代数,1
综合除法,数,1
多项式,部分分式分解,0
函数,根 (数学),0
部分分式分解,数学,1
虚数,平方,0
平行,斜率,0
幂,自然数,0
区间,解析几何,0
绝对值,数,1
离心率,圆锥,1
数学,三角函数,0
极点 (复分析),数,1
乘法,方程,0
除法,多项式除法,0
加法,几何学,0
一次方程,实数,0
数学,圆锥曲线,0
方程,实数,0
集合 (数学),空集,0
笛卡尔坐标系,数学,1
指数函数,恒等式,0
指数增长,幂,1
分段,函数,1
二次方程,乘法,1
不等,代数,1
几何学,闭集,0
质数,取整函数,0
平行,数学,1
加法,除法,0
矩阵环,矩阵,1
性质符号,实数,0
方程组,相等,1
实数,数,1
复数 (数学),自然对数,0
直线,直角三角形,0
反函数,函数,1
数,一元二次方程,0
常数函数,斜率,0
笛卡尔坐标系,几何学,1
负数,有理数,0
幂,科学记数法,0
求和符号,空和,0
实数,极点 (复分析),0
常用对数,科学记数法,0
扩展实数线,数,1
实数,平方根,0
闭集,集合 (数学),1
加法,部分分式分解,0
多项式,二项式定理,0
数学,单调函数,0
渐近线,垂线测试,0
单位圆,正弦,0
数学,区间,0
数学,标量乘法,0
相等,解析几何,0
微积分学,级数,0
实数,分配律,0
求和符号,加法,1
数学,垂直,0
线段,三角形,0
函数,全距,0
结合律,集合 (数学),0
平面 (数学),几何学,1
有理函数,函数,1
直线,圆,0
垂直,斜率,0
圆周运动,圆,1
复数 (数学),虚数,0
圆锥,椭圆,0
多项式,方根,0
开集,空集,0
离心率,圆锥曲线,1
半径,点,1
常用对数,对数,1
代数基本定理,数,1
位移,微积分学,0
减法,数,1
解析几何,角,1
常数函数,定义域,0
算术平均数,数学,1
根 (数学),定义域,1
数,点积,0
函数,复合函数,0
二次方程,加法,1
数学,直线,0
方程,方程求解,0
定向 (几何),几何学,1
二项式定理,实数,0
二项式定理,二项式系数,0
极坐标系,平面 (数学),1
数学,勾股定理,0
函数,以2为底的对数,0
代数式,整数,1
算术,叉积,0
几何学,斜率,0
对称,奇函数与偶函数,0
参数方程,数,1
平方根,有理数,0
指数增长,自然对数,0
平面 (数学),笛卡尔坐标系,0
距离,解析几何,0
复数 (数学),不等,0
指数函数,函数图形,0
几何学,三角形,0
直线,几何学,1
数,部分分式分解,0
多项式,区间,0
圆,二次函数,0
积,数,1
复数 (数学),笛卡尔坐标系,0
部分分式分解,除法,1
数学,多项式,0
实数,倒数,0
数学,因式分解,0
双曲线,几何学,0
整数,方程求解,0
数学,原点,0
初等矩阵,矩阵,1
曲线,弦 (几何),0
圆锥曲线,离心率,0
方程,数学,1
子式和余子式,反函数,0
综合除法,除法,1
向量场,矩阵乘法,0
多项式,复数 (数学),0
方程,有理数,0
一元二次方程,多项式除法,0
单位矩阵,矩阵,1
算术,倒数,0
算术,求和符号,0
加法,方根,0
数,虚数,0
二项式系数,实数,0
加法,奇偶性 (数学),0
多项式,算术,1
乘法,幂,0
整数,数,1
矩阵,非奇异方阵,0
函数,空集,0
数学,矩阵环,0
正弦定理,几何学,1
减法,数学,1
开集,闭集,0
反三角函数,反函数,1
一元二次方程,方程求解,0
对数,指数增长,0
力,向量场,0
二次函数,空集,0
以2为底的对数,对数,1
实数,数学证明,0
全距,反三角函数,0
数学,三角矩阵,0
线段,半径,0
指数函数,加法,0
反三角函数,数学,1
数学,单射,0
直线,线段,0
线段,直线,1
二项式定理,算术,1
直线,复数 (数学),0
反三角函数,正弦,1
数,代数基本定理,0
平面曲线,直线,1
微分方程,数学,1
圆锥曲线,圆,1
二次方程,数学,1
微积分学,代数基本定理,0
因式分解,乘法,1
主对角线,矩阵,1
复数 (数学),函数图形,0
平行,几何学,1
几何学,解析几何,0
方程,代数式,0
一次方程,解析几何,0
乘法,初等矩阵,0
笛卡儿符号法则,多项式除法,0
代数方程,数学,1
数学,全距,0
自然对数,以2为底的对数,0
点,正弦定理,0
几何学,圆,0
部分分式分解,因式分解,1
单位圆,数学,1
乘法,自然数,0
定义域,数学,1
代数式,代数,1
多项式除法,算术,1
笛卡儿符号法则,数,1
二项式系数,多项式,1
数,代数式,0
代数式,乘法,1
减法,整数,0
单位矩阵,主对角线,1
一元二次方程,函数图形,0
齐次多项式,算术,1
加法,自然数,0
旋转,几何学,1
质数,奇偶性 (数学),0
三角函数,数学,1
E (数学常数),倒数,0
坐标系,笛卡尔坐标系,0
数学,边 (几何),0
有理数,闭集,0
并集,结合律,0
数,不等,0
交换律,实数,0
除以零,数学,1
割线,几何学,1
标量乘法,向量场,0
象限角,几何学,1
根 (数学),几何学,0
常用对数,算术,1
圆锥曲线,圆锥,1
直角三角形,点,1
代数式,数学,1
数学,自然对数,0
单调函数,函数,1
集合 (数学),函数,0
矩阵乘法,矩阵,1
几何学,正弦定理,0
自然数,函数,0
幂,数学,1
数学,参数方程,0
位移,导数,0
参数方程,相等,1
平面曲线,圆锥曲线,0
解析几何,坐标系,1
自然数,数,1
二项式系数,数,1
线性方程组,一次方程,1
点,多边形,0
数学,算术,0
幂,自然对数,0
数,解析几何,0
乘法,叉积,0
自然数,空集,0
多项式,函数图形,0
数,多项式,0
方程,整数,0
圆,笛卡尔坐标系,0
数学,减法,0
正弦,几何学,1
单位圆,勾股定理,0
方程组,数,1
方程,笛卡尔坐标系,0
函数,距离,0
振幅,力,0
度 (角),数学,1
多项式,笛卡儿符号法则,0
反函数,数学,1
几何学,三角函数,0
常数函数,多项式,0
全距,极限 (数列),0
弦 (几何),点,1
齐次多项式,多项式,1
点,线段,0
代数基本定理,整数,1
垂直,方程,0
幂,复合函数,0
正弦,倒数,0
方程,解析几何,0
复数 (数学),代数基本定理,0
指数函数,算术,1
曲线,单位圆,0
几何学,多边形,0
正弦曲线,几何学,1
直线,解析几何,0
方程,代数基本定理,0
渐近线,几何学,1
有理数,倒数,0
极点 (复分析),复数 (数学),1
方程,减法,0
奇函数与偶函数,正弦,0
曲线,椭圆,0
集合 (数学),自然数,0
正弦定理,三角形,1
圆锥,曲线,1
离心率,曲线,1
除法,算术,1
几何学,圆锥曲线,0
数学,弦 (几何),0
倒数,数,1
面积,几何学,0
数学,自变量和因变量,0
直线,笛卡尔坐标系,0
简谐运动,力,1
多项式,多项式除法,0
扇形,直线,1
负数,斜率,0
割线,圆,0
单位圆,笛卡尔坐标系,0
幂,加法,0
集合 (数学),开集,0
直线,位移,0
取整函数,函数,0
向量场,数学,0
点积,数学,1
数学,渐近线,0
正弦曲线,直线,1
整数,不等,0
对数,常用对数,0
实数,代数基本定理,0
加法,函数,0
加法,笛卡儿符号法则,0
解析几何,数,1
子式和余子式,单位矩阵,0
乘法,数学,1
几何学,边 (几何),0
数学归纳法,数学,1
实数,自然对数,0
复合函数,交换律,0
函数图形,函数,1
奇偶性 (数学),数学证明,0
线段,点,1
线段,边 (几何),0
数学,函数图形,0
全距,实数,0
弦 (几何),直线,1
幂,负数,0
自然对数,倒数,0
集合 (数学),区间,0
曲线,直线,1
算术,多项式,0
直线,单位圆,0
函数,分段,0
线性方程组,直线,1
幂,多项式,0
性质符号,绝对值,0
集合 (数学),有理数,0
取整函数,极限 (数列),0
乘法,复数 (数学),0
解析几何,距离,1
几何学,平面 (数学),0
根 (数学),实数,0
几何学,垂线测试,0
单射,数学,1
直线,离心率,0
直线,渐近线,0
圆锥曲线,几何学,1
数学,矩阵乘法,0
乘法,不等,0
扩展实数线,数学,1
代数,不等,0
数学,三角形,0
直角三角形,直角,1
乘法,单位矩阵,0
整数,代数基本定理,0
代数方程,相等,1
直线,方程求解,0
振幅,周期函数,0
正弦定理,勾股定理,0
度 (角),角,1
几何学,角,0
奇偶性 (数学),除法,0
坐标系,象限角,0
恒等式,相等,1
圆锥曲线,直线,1
一元二次方程,实数,0
解析几何,数学,1
整数,正弦,0
乘法,代数式,0
级数,数学,1
算术,二项式系数,0
线段,几何学,1
自然数,除法,0
一次方程,方程求解,0
三角形,正弦定理,0
数学,定向 (几何),0
勾股定理,距离,0
算术,指数增长,0
正弦,函数图形,0
数,方程组,0
斜率,几何学,1
数学,像 (数学),0
角,笛卡尔坐标系,0
正弦曲线,曲线,1
矩阵乘法,乘法,1
勾股定理,函数,0
加法,奇函数与偶函数,0
数学,二次方程,0
极限 (数学),奇偶性 (数学),0
方程,除法,0
复数 (数学),正弦,0
代数式,数,1
单位圆,实数,0
部分分式分解,一元二次方程,0
结合律,减法,0
数学,反函数,0
象限角,坐标系,1
数学,定义域,0
函数图形,笛卡尔坐标系,0
三角形,直角三角形,0
二次函数,数学,1
函数极限,极限 (数学),1
相等,方程组,0
直线,一次方程,0
弦 (几何),数学,1
二次方程,相等,1
以2为底的对数,函数,1
实数,常用对数,0
数学,坐标系,0
空集,闭集,0
函数,有理函数,0
代数方程,方程,1
代数基本定理,算术,1
几何学,圆锥,0
方块矩阵,子式和余子式,0
相等,二次方程,0
一次方程,斜率,0
矩阵乘法,数学,1
矩阵乘法,初等矩阵,0
直线,正弦曲线,0
综合除法,乘法,1
勾股定理,正弦,0
复数 (数学),因式分解,0
圆,数学,1
多项式,一元二次方程,0
三角函数,恒等式,0
数学证明,数学,1
对数,方程求解,0
数学,扇形,0
直线,边 (几何),0
数学,乘法,0
奇偶性 (数学),极限 (数列),0
指数函数,E (数学常数),0
交换律,代数式,0
三角形,多边形,1
几何学,象限角,0
实数,复数 (数学),0
复数 (数学),实数,1
边 (几何),数学,1
算术,除以零,0
方块矩阵,主对角线,0
数,指数函数,0
方程组,数学,1
奇函数与偶函数,实数,0
全距,函数,1
直线,弦 (几何),0
区间,整数,0
数学,周期函数,0
矩阵,子式和余子式,0
直线,圆柱体,0
乘法,整数,0
圆,方程,0
方程求解,数学,1
复数 (数学),反三角函数,0
反函数,反三角函数,0
不等,倒数,0
直线,实数,0
常用对数,幂,1
边 (几何),几何学,1
乘法,对数,0
数学,指数增长,0
科学记数法,除法,0
数,极点 (复分析),0
多项式,方程求解,0
结合律,除法,0
对数,倒数,0
并集,分配律,0
并集,交换律,0
自然数,减法,0
二次方程,整数,1
角,三角形,0
函数,二次函数,0
共轭复数,数,1
指数增长,乘法,1
微积分学,数学,1
数,矩阵环,0
函数,垂线测试,0
共轭复数,实数,1
平面 (数学),数学,1
积空间,数,1
数学,圆柱体,0
角,几何学,1
单位圆,圆,1
主对角线,单位矩阵,0
数学,线性方程组,0
数学,正弦定理,0
笛卡儿符号法则,算术,1
对数,实数,0
半径,数学,1
几何学,曲线,0
几何学,度 (角),0
集合建构式符号,集合 (数学),1
几何学,割线,0
角,矩形,0
数,实数,0
分段,数学,1
整数,综合除法,0
全距,复数 (数学),0
像 (数学),数学,1
数学,平行,0
算术,奇偶性 (数学),0
加法,二项式系数,0
正弦定理,三角函数,0
实数,扩展实数线,0
几何学,正弦曲线,0
三角形,角,1
扇形,面积,0
有理数,数,1
数学,函数,0
奇偶性 (数学),数,0
数学,圆周运动,0
代数式,除法,0
曲线,扇形,0
取整函数,周期函数,0
笛卡儿符号法则,多项式,1
幂,整数,0
几何学,笛卡尔坐标系,0
数,倒数,0
简谐运动,正弦曲线,0
算术,综合除法,0
数学,一次方程,0
加法,二次方程,0
微积分学,极限 (数学),0
平方根,自然数,0
数学,直角三角形,0
逻辑函数,自然对数,0
负数,不等,0
极坐标系,数学,1
复平面,几何学,1
数,平方,0
初等矩阵,单位矩阵,1
综合除法,加法,1
乘法,二次方程,0
自变量和因变量,导数,0
积空间,数学,1
数学,求和符号,0
整数,多项式,0
数,综合除法,0
数学,极限 (数列),0
算术,矩阵乘法,0
一元二次方程,解析几何,0
连续函数,函数,1
整数,实数,0
矩阵,单位矩阵,0
直角三角形,线段,1
指数函数,复数 (数学),0
乘法,多项式除法,0
数,多项式除法,0
加法,分配律,0
科学记数法,减法,0
点积,积,1
数学,点积,0
数学,部分分式分解,0
垂直,勾股定理,0
区间,数学,1
除法,初等矩阵,0
圆锥,圆锥曲线,0
代数基本定理,矩阵,0
多项式,E (数学常数),0
交换律,除法,0
多项式,二项式系数,0
部分分式分解,实数,0
几何学,平行,0
度 (角),扇形,0
数学,根 (数学),0
正弦定理,直线,1
斜率,直线,1
复合函数,数学,1
实数,笛卡尔坐标系,0
曲线,渐近线,0
数,平方根,0
多项式,减法,0
三角函数,几何学,1
双曲线,焦点 (几何),0
数学,复合函数,0
直线,三角形,0
数学,度 (角),0
方程,定义域,0
乘法,矩阵乘法,0
曲线,圆锥曲线,0
矩阵,主对角线,0
角,垂直,0
数学,奇偶性 (数学),0
叉积,乘法,1
三角学,三角换元法,0
圆,垂直,0
科学记数法,整数,0
科学记数法,自然对数,0
常数函数,根 (数学),0
极坐标系,坐标系,1
复合函数,实数,0
绝对值,性质符号,1
求和符号,数学,1
位置向量,实数,0
对数,方根,0
曲线,割线,0
乘法,指数增长,0
垂线测试,数学,1
算术,笛卡儿符号法则,0
标量乘法,加法,0
圆周运动,数学,1
数,齐次多项式,0
多边形,直线,1
直线,平行,0
平面曲线,曲线,1
数学,直角,0
运算,数学,1
坐标系,数学,1
常数函数,函数,1
