A,B,Label
似然函数,最大似然估计,0
突变 (遗传演算法),遗传算法,1
K-平均算法,聚类分析,1
标准差,司徒顿t检定,0
统计分类,ROC曲线,0
支持向量机,回归分析,0
K-平均算法,模糊聚类,0
超平面,支持向量机,0
最大似然估计,线性回归,0
联合分布,支持向量机,0
相关,OPTICS,0
数据分析,异常检测,0
朴素贝叶斯分类器,先验概率,0
混合模型,最大期望算法,0
条件概率,泊松回归,0
假说检定,后验概率,0
K-平均算法,相关,1
贝氏网路,条件独立,1
随机森林,联合分布,1
遗传算法,突变 (遗传演算法),0
四分位距,直方图,0
异常检测,标准差,1
似然函数,后验概率,0
回归分析,信赖区间,0
型一错误与型二错误,总体,1
条件概率分布,最大似然估计,0
随机森林,回归分析,0
混合模型,后验概率,0
朴素贝叶斯分类器,条件概率分布,1
数据挖掘,聚类分析,1
标准差,聚类分析,0
总体,中位数,0
AdaBoost,提升方法,1
人工神经网络,信赖区间,0
标准差,模糊聚类,0
条件概率,条件概率分布,0
AdaBoost,机器学习,1
信赖区间,贝叶斯定理,0
关联规则学习,数据分析,0
信赖区间,中位数,0
支持向量机,联合分布,1
贝氏网路,贝叶斯定理,1
决策树学习,条件概率,1
人工神经网络,数据挖掘,0
总体,数据挖掘,0
四分位距,描述统计学,1
信赖区间,总体,1
回归分析,机器学习,0
混合模型,标准差,1
F-score,虚无假说,1
泊松回归,梯度下降法,0
样本,数据挖掘,0
统计分类,灵敏度和特异度,0
条件概率分布,后验概率,0
联合分布,随机森林,0
型一错误与型二错误,F-score,0
信息检索,F-score,0
集中趋势,测量尺度,0
测量尺度,离散程度,1
统计分类,概率模型,0
众数 (数学),集中趋势,0
数据分析,聚类分析,0
灵敏度和特异度,显著性差异,0
标准差,OPTICS,0
决策树学习,数据挖掘,0
假说检定,先验概率,0
标准差,主成分分析,0
提升方法,集成学习,1
异常检测,算术平均数,1
贝叶斯定理,先验概率,0
DBSCAN,OPTICS,0
司徒顿t检定,假说检定,1
主成分分析,线性回归,0
DBSCAN,资料类型,0
贝氏网路,标准差,0
样本,型一错误与型二错误,0
K-平均算法,联合分布,1
相关,模糊聚类,0
虚无假说,F-score,0
四分位距,标准差,0
支持向量机,决策树,0
显著性差异,标准差,1
司徒顿t检定,总体,1
集中趋势,描述统计学,0
数据挖掘,异常检测,1
异常检测,相关,1
机率密度函数,决策树学习,0
主成分分析,设计矩阵,0
反向传播算法,统计分类,1
机器学习,支持向量机,0
DBSCAN,明氏距离,0
决策树剪枝,联合分布,1
相关,混合模型,0
异常检测,数据分析,1
总体,司徒顿t检定,0
集中趋势,四分位数,0
集中趋势,中位数,1
最大似然估计,概率模型,0
最大似然估计,最大期望算法,0
决策树剪枝,决策树,1
朴素贝叶斯分类器,统计分类,1
统计分类,多元分类,0
泊松回归,线性回归,0
显著性差异,虚无假说,1
贝氏网路,机器学习,1
主成分分析,回归分析,0
线性回归,回归分析,1
机率密度函数,支持向量机,0
条件概率,决策树剪枝,0
机率密度函数,后验概率,0
条件概率,最大似然估计,0
决策树,决策树学习,0
人工神经网络,支持向量机,0
泊松回归,算术平均数,1
支持向量机,线性回归,0
条件独立,条件概率分布,1
似然函数,条件概率,1
条件独立,机率密度函数,1
随机森林,集成学习,1
贝氏网路,最大期望算法,1
标准差,显著性差异,0
主成分分析,相关,1
决策树剪枝,人工神经网络,0
人工神经网络,机器学习,1
假说检定,概率模型,0
泊松回归,机率密度函数,1
决策树剪枝,机率密度函数,1
最大似然估计,似然函数,1
最大期望算法,K-平均算法,0
四分位距,机率密度函数,0
数据分析,模糊聚类,0
统计分类,F-score,0
主成分分析,数据挖掘,0
假说检定,灵敏度和特异度,0
算术平均数,K-平均算法,0
OPTICS,数据分析,1
条件概率,贝叶斯定理,0
决策树,条件概率,1
似然函数,朴素贝叶斯分类器,0
最大期望算法,混合模型,0
提升方法,Bagging算法,0
联合分布,多元分类,0
假说检定,信赖区间,1
相关,主成分分析,0
人工神经网络,遗传算法,0
最大似然估计,条件概率分布,1
机率密度函数,前馈神经网络,0
主成分分析,决策树学习,0
模糊聚类,相关,1
总体,F-score,0
条件独立,条件概率,1
最大期望算法,聚类分析,0
贝叶斯定理,贝氏网路,0
F-score,假说检定,1
统计分类,数据挖掘,0
F-score,信赖区间,1
机器学习,提升方法,0
最大期望算法,模糊聚类,0
机器学习,前馈神经网络,0
混合模型,数据分析,1
算术平均数,异常检测,0
算术平均数,泊松回归,0
条件概率,混合模型,0
朴素贝叶斯分类器,最大似然估计,1
机率密度函数,似然函数,0
标准差,DBSCAN,0
标准差,数据挖掘,0
DBSCAN,标准差,1
条件概率分布,贝氏网路,0
模糊聚类,聚类分析,1
众数 (数学),测量尺度,0
信赖区间,F-score,0
标准差,朴素贝叶斯分类器,0
条件独立,贝氏网路,0
似然函数,贝氏网路,0
最大期望算法,条件概率分布,1
突变 (遗传演算法),机器学习,0
反向传播算法,梯度下降法,0
机器学习,决策树学习,0
泊松回归,条件概率分布,1
测量尺度,算术平均数,1
设计矩阵,线性回归,0
贝叶斯定理,条件概率,1
条件概率,最大期望算法,0
聚类分析,混淆矩阵,0
最小描述长度,最大似然估计,0
聚类分析,K-平均算法,0
算术平均数,混合模型,0
标准差,信赖区间,0
算术平均数,回归分析,0
数据挖掘,样本,1
机器学习,联合分布,1
假说检定,F-score,0
数据挖掘,算术平均数,1
主成分分析,标准差,1
统计分类,回归分析,0
随机森林,统计分类,1
联合分布,决策树学习,0
条件概率,决策树学习,0
朴素贝叶斯分类器,贝叶斯定理,1
数据挖掘,信赖区间,1
F-score,总体,1
决策树剪枝,统计分类,1
机率密度函数,人工神经网络,0
最大期望算法,缺失数据,0
机率密度函数,决策树剪枝,0
集中趋势,标准差,0
数据分析,DBSCAN,0
决策树学习,数据分析,0
朴素贝叶斯分类器,随机森林,0
条件概率,关联规则学习,0
AdaBoost,机率密度函数,1
型一错误与型二错误,标准差,1
朴素贝叶斯分类器,算术平均数,1
描述统计学,四分位距,0
离散程度,测量尺度,0
算术平均数,集中趋势,0
贝氏网路,联合分布,1
查询语言,数据建模,0
聚类分析,算术平均数,1
条件概率,线性回归,0
条件概率分布,泊松回归,0
统计分类,支持向量机,0
DBSCAN,数据挖掘,0
样本,司徒顿t检定,0
数据分析,K-平均算法,0
机率密度函数,机器学习,0
梯度下降法,人工神经网络,0
关联规则学习,先验算法,0
显著性差异,条件概率,0
相关,DBSCAN,0
后验概率,条件概率,1
数据挖掘,标准差,1
样本,显著性差异,0
OPTICS,数据挖掘,0
OPTICS,DBSCAN,0
条件概率,数据挖掘,0
联合分布,条件独立,0
四分位距,四分位数,1
自助法,随机森林,0
集成学习,随机森林,0
机器学习,人工神经网络,0
朴素贝叶斯分类器,条件概率,1
算术平均数,最小二乘法,0
联合分布,提升方法,0
朴素贝叶斯分类器,似然函数,1
联合分布,前馈神经网络,0
机率密度函数,K-平均算法,0
支持向量机,决策树学习,0
离散程度,四分位距,0
梯度下降法,非线性系统,0
F-score,信息检索,1
统计分类,前馈神经网络,0
最小描述长度,先验概率,0
线性回归,算术平均数,1
后验概率,先验概率,0
样本,假说检定,0
最大似然估计,先验概率,0
泊松回归,似然函数,1
条件独立,朴素贝叶斯分类器,0
集中趋势,离散程度,0
回归分析,标准差,0
数据挖掘,虚无假说,1
前馈神经网络,统计分类,1
标准差,K-平均算法,0
贝叶斯定理,抽样,0
机率密度函数,联合分布,0
显著性差异,假说检定,1
条件概率,似然函数,0
机率密度函数,条件概率分布,0
遗传算法,聚类分析,0
混合模型,K-平均算法,0
机率密度函数,多元分类,0
降维,主成分分析,0
贝叶斯定理,朴素贝叶斯分类器,0
数据挖掘,关联规则学习,1
算术平均数,OPTICS,0
先验算法,条件概率,1
多元分类,机率密度函数,1
混合模型,直方图,0
集中趋势,众数 (数学),1
条件概率分布,机率密度函数,1
样本,信赖区间,0
测量尺度,集中趋势,1
回归分析,泊松回归,0
人工神经网络,数据处理,0
算术平均数,模糊聚类,0
后验概率,贝氏网路,0
人工神经网络,回归分析,0
模糊聚类,算术平均数,1
联合分布,线性回归,0
机率密度函数,条件独立,0
联合分布,决策树剪枝,0
算术平均数,测量尺度,0
数据挖掘,数据分析,1
异常检测,支持向量机,0
机率密度函数,AdaBoost,0
测量精度,伪阳性和伪阴性,0
相关,异常检测,0
提升方法,梯度下降法,0
信赖区间,假说检定,0
虚无假说,显著性差异,0
虚无假说,司徒顿t检定,0
决策树,随机森林,0
先验概率,数据分析,0
F-score,标准差,1
标准差,混合模型,0
贝氏网路,专家系统,0
异常检测,聚类分析,1
泊松回归,最大似然估计,0
聚类分析,混合模型,0
最大似然估计,条件概率,1
条件概率分布,最大期望算法,0
提升方法,AdaBoost,0
虚无假说,数据挖掘,0
人工神经网络,后验概率,0
Bagging算法,随机森林,0
DBSCAN,异常检测,0
中位数,集中趋势,0
显著性差异,样本,1
聚类分析,伪阳性和伪阴性,0
F-score,型一错误与型二错误,1
算术平均数,相关,0
联合分布,人工神经网络,0
决策树学习,决策树,1
爬山算法,梯度下降法,0
聚类分析,OPTICS,0
最大期望算法,似然函数,1
标准差,相关,0
统计分类,数据分析,0
主成分分析,降维,1
机率密度函数,提升方法,0
最大期望算法,条件概率,1
最小二乘法,回归分析,1
泊松回归,回归分析,1
模糊聚类,标准差,1
数据挖掘,相关,1
贝叶斯定理,机率密度函数,1
灵敏度和特异度,伪阳性和伪阴性,1
回归分析,显著性差异,0
联合分布,AdaBoost,0
相关,线性回归,0
遗传算法,自然选择,1
决策树剪枝,交叉验证,0
朴素贝叶斯分类器,相关,1
相关,聚类分析,0
随机森林,机器学习,1
决策树学习,随机森林,0
司徒顿t检定,虚无假说,1
决策树,遗传算法,0
假说检定,司徒顿t检定,0
随机森林,机率密度函数,1
人工神经网络,前馈神经网络,0
最大期望算法,贝氏网路,0
贝氏网路,最大似然估计,1
型一错误与型二错误,假说检定,1
OPTICS,聚类分析,1
机器学习,AdaBoost,0
回归分析,数据挖掘,0
反向传播算法,联合分布,1
算术平均数,DBSCAN,0
数据挖掘,条件概率,1
专家系统,机器学习,0
算术平均数,线性回归,0
相关,K-平均算法,0
似然函数,机率密度函数,1
联合分布,机率密度函数,1
机率密度函数,贝叶斯定理,0
前馈神经网络,机器学习,1
聚类分析,标准差,1
前馈神经网络,机率密度函数,1
F-score,统计分类,1
人工神经网络,反向传播算法,0
决策树剪枝,反向传播算法,0
条件概率分布,线性回归,0
最大似然估计,贝氏网路,0
人工神经网络,机率密度函数,1
机器学习,决策树剪枝,0
测量尺度,标准差,1
条件概率分布,条件独立,0
样本,F-score,0
异常检测,数据挖掘,0
机器学习,机率密度函数,1
似然函数,概率模型,0
总体,型一错误与型二错误,0
泊松回归,条件概率,1
混合模型,机率密度函数,1
回归分析,离散程度,0
样本,总体,1
信赖区间,标准差,1
信赖区间,灵敏度和特异度,0
混合模型,条件概率,1
集中趋势,四分位距,0
决策树剪枝,条件概率,1
梯度下降法,线性回归,0
决策树学习,贝氏网路,0
混合模型,总体,0
支持向量机,超平面,1
联合分布,K-平均算法,0
机率密度函数,中位数,0
混合模型,数据挖掘,0
条件独立,联合分布,0
K-平均算法,标准差,1
标准差,异常检测,0
数据挖掘,总体,1
最大期望算法,机率密度函数,1
后验概率,机率密度函数,1
信赖区间,型一错误与型二错误,0
K-平均算法,中位数,0
反向传播算法,非线性系统,0
最小二乘法,算术平均数,1
型一错误与型二错误,样本,1
反向传播算法,机率密度函数,1
异常检测,集成学习,0
机率密度函数,最大似然估计,0
回归分析,算术平均数,1
机器学习,多元分类,0
机率密度函数,泊松回归,0
联合分布,贝氏网路,0
决策树学习,联合分布,1
司徒顿t检定,标准差,1
数据挖掘,统计分类,1
机器学习,K-平均算法,0
Alpha-beta剪枝,决策树剪枝,0
联合分布,朴素贝叶斯分类器,0
后验概率,条件概率分布,1
虚无假说,假说检定,0
统计分类,反向传播算法,0
显著性差异,数据分析,0
信赖区间,最大似然估计,0
似然函数,回归分析,0
前馈神经网络,人工神经网络,1
朴素贝叶斯分类器,机器学习,1
似然函数,先验概率,0
集成学习,提升方法,0
统计分类,随机森林,0
K-平均算法,机率密度函数,1
人工神经网络,联合分布,1
K-平均算法,主成分分析,0
条件概率,后验概率,0
朴素贝叶斯分类器,联合分布,1
数据挖掘,决策树,0
决策树,AdaBoost,0
混合模型,贝叶斯定理,0
测量尺度,众数 (数学),1
中位数,四分位距,0
随机森林,众数 (数学),0
条件概率,决策树,0
决策树学习,人工神经网络,0
最大似然估计,机率密度函数,1
标准差,假说检定,0
机器学习,随机森林,0
算术平均数,数据挖掘,0
算术平均数,DBSCAN,0
算术平均数,OPTICS,0
标准差,朴素贝叶斯分类器,0
中位数,四分位距,0
机率密度函数,贝氏网路,0
机器学习,K-平均算法,0
自然选择,突变 (遗传演算法),0
机率密度函数,支持向量机,0
极值,梯度下降法,0
联合分布,AdaBoost,0
统计分类,灵敏度和特异度,0
样本,F-score,0
先验概率,贝氏网路,0
聚类分析,DBSCAN,0
决策树学习,随机森林,0
数据分析,DBSCAN,0
统计分类,决策树,0
自助法,随机森林,0
似然函数,贝氏网路,0
回归分析,数据挖掘,0
机率密度函数,决策树学习,0
样本,信赖区间,0
样本,假说检定,0
条件独立,朴素贝叶斯分类器,0
机器学习,反向传播算法,0
算术平均数,主成分分析,0
总体,假说检定,0
信赖区间,显著性差异,0
条件概率,关联规则学习,0
信赖区间,司徒顿t检定,0
总体,抽样,0
统计分类,决策树学习,0
聚类分析,混合模型,0
机器学习,提升方法,0
统计分类,支持向量机,0
数据分析,聚类分析,0
离散程度,四分位距,0
虚无假说,型一错误与型二错误,0
关联规则学习,先验算法,0
条件概率分布,贝氏网路,0
假说检定,数据挖掘,0
标准差,OPTICS,0
数据分析,K-平均算法,0
Bagging算法,随机森林,0
算术平均数,K-平均算法,0
算术平均数,集中趋势,0
机器学习,支持向量机,0
虚无假说,假说检定,0
统计分类,ROC曲线,0
决策树学习,决策树剪枝,0
统计分类,多元分类,0
机器学习,决策树剪枝,0
信赖区间,型一错误与型二错误,0
相关,DBSCAN,0
数据分析,模糊聚类,0
相关,混合模型,0
条件概率分布,似然函数,0
相关,OPTICS,0
算术平均数,相关,0
条件概率,条件概率分布,0
算术平均数,混合模型,0
标准差,假说检定,0
人工神经网络,反向传播算法,0
标准差,相关,0
条件概率,贝氏网路,0
总体,显著性差异,0
样本,司徒顿t检定,0
机器学习,多元分类,0
条件概率,随机森林,0
最大似然估计,最大期望算法,0
统计分类,人工神经网络,0
集成学习,AdaBoost,0
机率密度函数,朴素贝叶斯分类器,0
条件概率分布,贝叶斯定理,0
机率密度函数,提升方法,0
中位数,测量尺度,0
联合分布,提升方法,0
联合分布,前馈神经网络,0
后验概率,贝氏网路,0
联合分布,多元分类,0
相关,聚类分析,0
机器学习,决策树学习,0
决策树,随机森林,0
遗传算法,突变 (遗传演算法),0
聚类分析,K-平均算法,0
相关,K-平均算法,0
条件独立,贝氏网路,0
联合分布,随机森林,0
标准差,异常检测,0
总体,型一错误与型二错误,0
条件概率分布,朴素贝叶斯分类器,0
聚类分析,数据挖掘,0
提升方法,AdaBoost,0
机器学习,AdaBoost,0
联合分布,支持向量机,0
贝叶斯定理,贝氏网路,0
条件概率,决策树学习,0
描述统计学,四分位距,0
总体,信赖区间,0
标准差,混合模型,0
虚无假说,F-score,0
离散程度,测量尺度,0
集成学习,提升方法,0
算术平均数,异常检测,0
假说检定,司徒顿t检定,0
联合分布,K-平均算法,0
标准差,显著性差异,0
总体,司徒顿t检定,0
异常检测,数据挖掘,0
相关,异常检测,0
统计分类,反向传播算法,0
联合分布,决策树剪枝,0
数据分析,异常检测,0
中位数,集中趋势,0
决策树,决策树剪枝,0
统计分类,朴素贝叶斯分类器,0
虚无假说,显著性差异,0
机器学习,贝氏网路,0
回归分析,线性回归,0
算术平均数,泊松回归,0
条件概率分布,条件独立,0
条件概率,似然函数,0
机率密度函数,条件独立,0
集成学习,随机森林,0
最大期望算法,贝氏网路,0
相关,主成分分析,0
机器学习,人工神经网络,0
机率密度函数,泊松回归,0
机率密度函数,决策树剪枝,0
似然函数,最大似然估计,0
数据分析,OPTICS,0
条件概率,决策树,0
信赖区间,假说检定,0
条件概率分布,最大似然估计,0
相关,模糊聚类,0
条件概率,条件独立,0
假说检定,F-score,0
信赖区间,F-score,0
数据分析,混合模型,0
最大似然估计,朴素贝叶斯分类器,0
标准差,DBSCAN,0
聚类分析,模糊聚类,0
条件概率分布,最大期望算法,0
条件概率分布,泊松回归,0
算术平均数,测量尺度,0
条件概率,贝叶斯定理,0
样本,数据挖掘,0
联合分布,机器学习,0
算术平均数,数据挖掘,0
标准差,主成分分析,0
统计分类,随机森林,0
贝叶斯定理,朴素贝叶斯分类器,0
信赖区间,数据挖掘,0
总体,F-score,0
统计分类,决策树剪枝,0
机率密度函数,AdaBoost,0
标准差,型一错误与型二错误,0
算术平均数,朴素贝叶斯分类器,0
联合分布,贝氏网路,0
算术平均数,聚类分析,0
条件概率,后验概率,0
标准差,数据挖掘,0
四分位数,四分位距,0
条件概率,朴素贝叶斯分类器,0
似然函数,朴素贝叶斯分类器,0
信息检索,F-score,0
算术平均数,线性回归,0
似然函数,泊松回归,0
虚无假说,数据挖掘,0
统计分类,前馈神经网络,0
假说检定,显著性差异,0
关联规则学习,数据挖掘,0
条件概率,先验算法,0
机率密度函数,多元分类,0
众数 (数学),集中趋势,0
机率密度函数,条件概率分布,0
集中趋势,测量尺度,0
算术平均数,模糊聚类,0
数据分析,数据挖掘,0
标准差,F-score,0
聚类分析,异常检测,0
条件概率,最大似然估计,0
样本,显著性差异,0
型一错误与型二错误,F-score,0
决策树,决策树学习,0
似然函数,最大期望算法,0
降维,主成分分析,0
条件概率,最大期望算法,0
回归分析,最小二乘法,0
回归分析,泊松回归,0
标准差,模糊聚类,0
相关,数据挖掘,0
机率密度函数,贝叶斯定理,0
伪阳性和伪阴性,灵敏度和特异度,0
自然选择,遗传算法,0
相关,朴素贝叶斯分类器,0
机器学习,随机森林,0
虚无假说,司徒顿t检定,0
机率密度函数,随机森林,0
最大似然估计,贝氏网路,0
假说检定,型一错误与型二错误,0
聚类分析,OPTICS,0
联合分布,反向传播算法,0
条件概率,数据挖掘,0
机率密度函数,似然函数,0
机率密度函数,联合分布,0
机器学习,前馈神经网络,0
标准差,聚类分析,0
机率密度函数,前馈神经网络,0
统计分类,F-score,0
机率密度函数,人工神经网络,0
标准差,测量尺度,0
机率密度函数,机器学习,0
条件概率,泊松回归,0
机率密度函数,混合模型,0
总体,样本,0
标准差,信赖区间,0
条件概率,混合模型,0
条件概率,决策树剪枝,0
超平面,支持向量机,0
标准差,K-平均算法,0
总体,数据挖掘,0
机率密度函数,最大期望算法,0
机率密度函数,后验概率,0
算术平均数,最小二乘法,0
样本,型一错误与型二错误,0
机率密度函数,反向传播算法,0
算术平均数,回归分析,0
联合分布,决策树学习,0
标准差,司徒顿t检定,0
统计分类,数据挖掘,0
条件概率分布,后验概率,0
人工神经网络,前馈神经网络,0
机器学习,朴素贝叶斯分类器,0
机率密度函数,K-平均算法,0
联合分布,人工神经网络,0
联合分布,朴素贝叶斯分类器,0
众数 (数学),测量尺度,0
机率密度函数,最大似然估计,0
K-平均算法,联合分布,1
K-平均算法,机率密度函数,1
AdaBoost,机率密度函数,1
F-score,总体,1
DBSCAN,数据分析,1
DBSCAN,相关,1
DBSCAN,算术平均数,1
DBSCAN,标准差,1
随机森林,机率密度函数,1
随机森林,统计分类,1
随机森林,机器学习,1
随机森林,条件概率,1
随机森林,决策树,1
随机森林,联合分布,1
贝氏网路,条件概率分布,1
贝氏网路,条件概率,1
贝氏网路,机率密度函数,1
数据挖掘,算术平均数,1
信赖区间,总体,1
假说检定,总体,1
朴素贝叶斯分类器,条件概率分布,1
朴素贝叶斯分类器,机率密度函数,1
朴素贝叶斯分类器,条件概率,1
反向传播算法,联合分布,1
反向传播算法,机率密度函数,1
显著性差异,样本,1
显著性差异,总体,1
显著性差异,标准差,1
司徒顿t检定,样本,1
司徒顿t检定,总体,1
司徒顿t检定,标准差,1
混合模型,数据分析,1
混合模型,相关,1
混合模型,算术平均数,1
混合模型,标准差,1
提升方法,联合分布,1
提升方法,机率密度函数,1
先验算法,条件概率,1
贝氏网路,条件概率,1
贝氏网路,机率密度函数,1
数据挖掘,样本,1
数据挖掘,总体,1
数据挖掘,虚无假说,1
数据挖掘,标准差,1
数据挖掘,信赖区间,1
支持向量机,联合分布,1
支持向量机,机率密度函数,1
决策树剪枝,机率密度函数,1
决策树剪枝,统计分类,1
决策树剪枝,机器学习,1
决策树剪枝,条件概率,1
决策树剪枝,决策树,1
决策树剪枝,联合分布,1
决策树剪枝,联合分布,1
决策树剪枝,机率密度函数,1
型一错误与型二错误,样本,1
型一错误与型二错误,总体,1
型一错误与型二错误,标准差,1
DBSCAN,算术平均数,1
DBSCAN,标准差,1
混合模型,算术平均数,1
混合模型,标准差,1
似然函数,条件概率,1
似然函数,机率密度函数,1
OPTICS,算术平均数,1
OPTICS,标准差,1
反向传播算法,统计分类,1
反向传播算法,机器学习,1
反向传播算法,机率密度函数,1
反向传播算法,联合分布,1
司徒顿t检定,总体,1
多元分类,联合分布,1
多元分类,机率密度函数,1
最大期望算法,似然函数,1
最大期望算法,条件概率分布,1
最大期望算法,条件概率,1
最大期望算法,机率密度函数,1
贝叶斯定理,条件概率,1
贝叶斯定理,机率密度函数,1
提升方法,机率密度函数,1
前馈神经网络,机率密度函数,1
贝氏网路,条件概率,1
贝氏网路,机率密度函数,1
贝氏网路,条件概率分布,1
多元分类,机率密度函数,1
聚类分析,算术平均数,1
聚类分析,标准差,1
决策树学习,联合分布,1
决策树学习,机率密度函数,1
随机森林,统计分类,1
随机森林,条件概率,1
突变 (遗传演算法),自然选择,1
K-平均算法,数据分析,1
K-平均算法,相关,1
K-平均算法,算术平均数,1
K-平均算法,标准差,1
K-平均算法,算术平均数,1
K-平均算法,标准差,1
贝氏网路,条件概率分布,1
