A,B,Label
场 (物理),介电质,0
磁场,温度,0
电势,引力,0
光的反射定律,光,1
射线,光,1
距离,杠杆,0
力,长度,0
物理学,折射率,0
折射率,颜色,0
全内反射,波,1
全内反射,反射 (物理学),1
声音,音强,0
力矩,能量,0
电阻,米 (单位),0
场 (物理),静电学,0
地球引力,自由落体,0
位置向量,电势,0
衍射,横波,0
介电质,反射 (物理学),0
干涉 (物理学),能量,0
力,非弹性碰撞,0
镜像 (几何),物理学,1
能量,电磁辐射,0
磁,场 (物理),0
温度,速度,0
弹性 (物理学),材料力学,0
地球引力,运动 (物理学),1
位移,位置向量,1
强度 (物理),功率,1
磁场,物理学,1
曲面镜,几何光学,0
干涉 (物理学),驻波,0
物理学,弹性碰撞,0
速率,非弹性碰撞,0
能量,镜像 (几何),0
波,色散 (光学),0
距离,物理学,0
力,金属疲劳,0
质量,碰撞,0
电动势,磁场,1
电磁辐射,能量,1
正向力,物理学,1
电场,波,0
速率,折射,0
地球引力,万有引力定律,0
折射,斯涅尔定律,0
介电质,能量,1
音强,速度,0
电磁辐射,横波,0
引力场,质量,1
望远镜放大倍数,虚像 (光学),0
运动 (物理学),力,0
介电质,物理学,1
质量,地球引力,0
电压表,电压,1
传输介质,电磁波谱,0
激波,速度,0
电场,电势,0
位置向量,电势能,0
赫兹,千克,0
电子,场 (物理),0
焦耳,速度,0
绝缘体,介电质,0
质量,速度,0
力,勒萨吉重力理论,0
力,定向 (几何),0
非弹性碰撞,质量,1
电磁波谱,库仑定律,1
多普勒效应,相对速度,1
斯涅尔定律,波长,1
速率,介电质,0
磁铁,力,0
物理学,能量,0
质量,吸收光谱学,0
加速度,能量,0
焦耳,力矩,0
音强,物理学,1
标量乘法,标量 (数学),1
速度,长度,0
速度,机械能,0
振幅,电磁波谱,0
驻波,振幅,1
电子,介电质,0
折射望远镜,折射,1
色散 (光学),折射望远镜,0
电压,功率,0
运动方程,长度,0
电流,电阻,0
发射光谱,电流,1
振幅,电阻,0
距离,运动方程,0
吸收光谱学,电磁波谱,0
电阻,欧姆定律,1
运动 (物理学),功率,0
勒萨吉重力理论,质量,1
波长,多普勒效应,0
波,长度,0
正向力,力,1
望远镜,电磁辐射,0
曲面镜,反射 (物理学),0
电压,库仑,0
摩擦力,正向力,0
物理学,硬度,0
向量,惯性参考系,0
电压,电阻,0
距离,多普勒效应,0
库仑定律,电场,0
电磁辐射,色散 (光学),0
位移,势能,0
运动方程,力,1
摩擦力,物理学,1
重力加速度,位移,1
光的反射定律,镜像 (几何),0
电磁波谱,反射 (物理学),0
电子,折射率,0
电势,引力场,0
库仑定律,电势能,0
磁铁,电磁波谱,0
塑性变形,胡克定律,0
斯涅尔定律,全内反射,0
物理学,衍射,0
电动势,焦耳,0
全内反射,折射,1
磁场,库仑,0
声爆,质量,0
万有引力常数,物理学,1
运动方程,力矩,0
电磁波谱,米 (单位),0
运动 (物理学),加速度,0
强度 (物理),音强,0
多普勒效应,波,1
电场,电势能,0
磁场,赫兹,0
电容,能量,0
波,介电质,0
力,千克,0
激波,力,0
干涉 (物理学),电磁波谱,0
虚像 (光学),光学显微镜,0
运动 (物理学),速度,0
自由落体,重力加速度,1
胡克定律,距离,0
横波,物理学,1
场 (物理),发射光谱,0
折射率,波长,0
勒萨吉重力理论,速度,0
速率,碰撞,0
电子,色散 (光学),0
电磁辐射,磁场,1
惯性参考系,速率,1
加速度,电磁辐射,0
磁铁,长度,0
机械能,位置向量,1
向量,自由落体,0
强度 (物理),干涉 (物理学),0
波,勒萨吉重力理论,0
电压,电势,0
牛顿运动定律,万有引力定律,0
加速度,定向 (几何),0
光电效应,电压,0
力,物理学,1
能量,吸收光谱学,0
物理学,电势,0
引力,力,1
非弹性碰撞,速度,0
速率,质量,0
声爆,声音,1
库仑定律,电磁波谱,0
能量,物理学,1
引力场,距离,1
物理学,平抛运动,0
功率,速度,0
地球引力,千克,0
胡克定律,波,0
加速度,万有引力定律,0
动能,力,0
磁铁,电阻,0
能量,平抛运动,0
运动 (物理学),磁,0
力矩,距离,0
材料力学,力,1
电势能,能量,1
位移,速度,0
磁铁,场 (物理),0
电压,电压表,0
衍射,光学显微镜,0
能量,电势能,0
振幅,功率,0
激光器,功率,0
距离,电势能,0
勒萨吉重力理论,激光器,0
力矩,长度,0
平抛运动,向量,1
验电器,电容,0
色散 (光学),相速度,1
地球引力,物理学,1
光电效应,电场,0
能级,势能,0
波,干涉 (物理学),0
干涉 (物理学),频率,1
光,赫兹,0
弹性 (物理学),胡克定律,0
反射 (物理学),波长,0
焦耳,功率,0
光的反射定律,波长,0
电磁辐射,米 (单位),0
磁,电子,0
碰撞,行星,0
重力加速度,惯性参考系,0
摩擦力,速度,0
勒萨吉重力理论,力,1
电子,反射 (物理学),0
温度,磁,0
电子,千克,0
势能,电势能,0
自由落体,米 (单位),0
电动势,电压表,0
摩擦力,库仑,0
强度 (物理),力,1
波,电子,0
功,行星,0
万有引力定律,速度,0
相对速度,速度,1
能量,波长,0
自由落体,行星,0
望远镜,行星,0
胡克定律,长度,1
位置向量,势能,0
电磁波谱,磁场,1
势能,能量,1
静电学,向量,1
速率,功,0
静电学,电势能,1
位移,静电学,0
力,机械能,0
电压,电场,0
静电学,库仑定律,1
重力加速度,向量,1
波峰,频率,0
介电质,频率,0
电势,验电器,0
激波,磁场,0
胡克定律,介电质,0
物理学,运动 (物理学),0
万有引力定律,自由落体,0
质量,弹性碰撞,0
电子,电磁波谱,0
加速度,运动 (物理学),1
引力,引力场,0
光,反射 (物理学),0
磁,磁场,0
能级,发射光谱,0
物理学,杠杆,0
共振 (粒子物理学),散射,0
能量,张力,0
动能,弹性碰撞,0
波长,散射,0
电容,长度,0
能级,吸收光谱学,0
加速度,光电效应,0
材料力学,硬度,0
波,力,0
电子,接触力,0
摩擦力,电子,0
电磁辐射,电场,1
距离,电势,0
地球引力,向量,1
磁,勒萨吉重力理论,0
斯涅尔定律,波,1
射线,斯涅尔定律,0
光,镜像 (几何),0
位移,物理学,1
速度,地球引力,0
折射望远镜,波,1
位置向量,向量,1
胡克定律,力矩,0
波峰,物理学,1
场 (物理),电动势,0
重力加速度,能量,0
惯性参考系,物理学,1
色素,颜色,1
磁,电容,0
波长,斯涅尔定律,0
向量,位置向量,0
距离,加速度,0
电势能,力,1
电势能,电势,0
电子,电动势,0
硬度,千克,0
导体,电阻,0
弹性碰撞,碰撞,1
物理学,反射 (物理学),0
万有引力定律,电场,0
发射光谱,波长,1
斯涅尔定律,射线,1
音强,距离,0
摩擦力,力,1
摩擦力,硬度,0
传输介质,波,1
磁场,质量,0
力,张力,0
电子,场线,0
光,光电效应,0
速率,磁,0
能量,弹性碰撞,0
摩擦力,温度,0
力矩,引力,0
电容器,绝缘体,0
功率,物理学,1
电流,电磁辐射,0
标量 (数学),距离,0
断裂,硬度,0
电动势,力,1
磁场,波,0
波,运动 (物理学),0
速度,功,0
摩擦力,力矩,0
速率,距离,1
振幅,驻波,0
电磁波谱,波,1
物理学,电磁辐射,0
速率,物理学,1
库仑定律,库仑,0
介电质,电磁波谱,0
静电学,能量,1
波,磁铁,0
能量,蠕变,0
电动势,磁铁,1
静电学,功,1
速率,磁铁,0
电场,库仑定律,1
频率,胡克定律,0
物理学,导体,0
波,光电效应,0
验电器,库仑定律,0
能量,质量,0
射线,衍射,0
频率,米 (单位),0
速率,运动方程,0
波长,速率,0
运动 (物理学),机械能,0
速率,平抛运动,0
波长,吸收光谱学,0
质量,波长,0
运动 (物理学),平抛运动,0
激波,物理学,1
能量,色散 (光学),0
物理学,摩擦力,0
光的反射定律,物理学,1
电磁波谱,力,1
速率,弹性碰撞,0
平抛运动,位置向量,1
电动势,电势,0
机械能,位移,1
欧姆,速度,0
声爆,速率,0
引力,万有引力常数,0
距离,万有引力常数,0
波,吸收光谱学,0
电磁波谱,电磁辐射,1
力,地球引力,0
质量,千克,0
加速度,自由落体,0
电动势,能量,1
电子,发射光谱,0
电子,电容,0
距离,长度,0
力,杠杆,0
位移,加速度,0
发射光谱,场 (物理),1
标量 (数学),向量,0
能量,磁铁,0
磁场,电磁波谱,0
静电学,力,1
干涉 (物理学),几何光学,0
振幅,频率,0
光的反射定律,射线,1
运动方程,位移,1
相对速度,物理学,1
电压,欧姆,0
自由落体,正向力,0
物理学,横波,0
验电器,电压,0
物理学,介电质,0
自由落体,向量,1
发射光谱,碰撞,0
电动势,电阻,0
电子,焦耳,0
自由落体,运动 (物理学),1
波,折射望远镜,0
位移,运动方程,0
加速度,物理学,1
运动 (物理学),距离,0
场线,库仑定律,0
光电效应,验电器,0
塑性变形,弹性 (物理学),0
折射,射线,0
力,运动 (物理学),0
散射,物理学,1
折射,波,1
反射 (物理学),物理学,1
蠕变,温度,0
胡克定律,弹性 (物理学),1
速率,音强,0
散射,碰撞,0
运动方程,引力场,0
功,动能,0
物理学,勒萨吉重力理论,0
折射,反射 (物理学),0
动能,速度,0
能量,场 (物理),0
电子,运动 (物理学),0
速率,场 (物理),0
场 (物理),磁场,0
速率,折射率,0
欧姆,千克,0
物理学,波峰,0
参考系,运动 (物理学),1
介电质,温度,0
胡克定律,温度,0
向量,平抛运动,0
加速度,相对速度,0
物理学,相对速度,0
电磁辐射,温度,0
位置向量,物理量,0
断裂,磁铁,0
运动 (物理学),速率,0
弹性 (物理学),力,1
吸收光谱学,频率,1
引力,加速度,0
质量,重力加速度,0
运动方程,速度,1
电流,磁场,0
力,磁,0
电势能,位移,1
力,引力,0
电磁波谱,电流,1
相对速度,距离,1
波,发射光谱,0
导体,物理学,1
焦耳,势能,0
波,速度,0
发射光谱,电子,1
力,正向力,0
射线,波长,0
杠杆,功率,0
横波,波,1
参考系,惯性参考系,0
折射,折射望远镜,0
向量,功,0
强度 (物理),折射率,0
电子,散射,0
位移,运动 (物理学),1
力,电流,0
折射望远镜,虚像 (光学),0
距离,位移,0
电磁辐射,物理学,1
焦耳,千克,0
射线,全内反射,0
波,斯涅尔定律,0
非弹性碰撞,动能,1
波,传输介质,0
几何光学,实像,0
加速度,平抛运动,0
速率,色散 (光学),0
光,色散 (光学),0
速度,行星,0
功,功率,0
质量,平抛运动,0
导体,绝缘体,0
电势能,静电学,0
摩擦力,势能,0
硬度,力,1
电场,吸收光谱学,0
物理学,折射,0
相对速度,弹性碰撞,0
几何光学,虚像 (光学),0
物理学,蠕变,0
几何光学,折射率,0
磁场,行星,0
电磁辐射,勒萨吉重力理论,0
万有引力定律,能量,0
相对速度,速率,1
斯涅尔定律,电磁辐射,0
反射 (物理学),波,1
加速度,张力,0
力,材料力学,0
焦耳,静电学,0
电容,行星,0
磁场,米 (单位),0
斯涅尔定律,反射 (物理学),0
电压,赫兹,0
势能,速度,0
胡克定律,物理学,1
光,横波,0
电阻,长度,0
干涉 (物理学),激光器,0
能量,电子,0
波,赫兹,0
向量,场 (物理),0
平抛运动,自由落体,0
光电效应,振幅,0
静电学,位置向量,1
发射光谱,能量,1
磁铁,温度,0
弹性 (物理学),温度,0
波,波峰,0
电容,势能,0
碰撞,速度,0
光,光学显微镜,0
力,功率,0
势能,引力场,0
速率,位置向量,0
物理学,塑性变形,0
地球引力,速度,1
胡克定律,千克,0
射线,光的反射定律,0
惯性参考系,力,0
力矩,速度,0
摩擦力,功,0
衍射,折射率,0
运动 (物理学),多普勒效应,0
自由落体,速度,1
折射率,电磁辐射,0
欧姆,米 (单位),0
电势能,电压,0
磁场,电场,0
距离,勒萨吉重力理论,0
介电质,光的反射定律,0
磁场,机械能,0
机械能,物理学,1
物理学,音强,0
质量,场 (物理),0
频率,波长,0
位置向量,质量,0
平抛运动,物理学,1
力矩,功率,0
电磁辐射,库仑定律,1
干涉 (物理学),千克,0
振幅,电场,0
电磁辐射,电流,1
位置向量,位移,0
能量,光电效应,0
重力加速度,速率,1
位置向量,距离,0
胡克定律,蠕变,0
吸收光谱学,长度,0
动能,非弹性碰撞,0
速度,重力加速度,0
惯性参考系,弹性碰撞,0
物理学,参考系,0
磁铁,场线,0
胡克定律,振幅,0
库仑定律,电势,0
物理学,弹性 (物理学),0
质量,机械能,0
场线,质量,0
望远镜,电磁波谱,0
牛顿运动定律,运动 (物理学),1
折射率,光学显微镜,0
惯性参考系,距离,1
质量,自由落体,0
电流,电磁波谱,0
碰撞,非弹性碰撞,0
运动 (物理学),相对速度,0
电磁辐射,电压,0
光电效应,物理学,1
波,波长,0
磁铁,磁,0
温度,力,0
加速度,势能,0
电阻,温度,0
光,电磁波谱,0
激波,温度,0
物理学,势能,0
折射率,横波,0
折射率,实像,0
频率,吸收光谱学,0
场 (物理),引力场,0
波,引力场,0
介电质,绝缘体,1
速率,能量,0
势能,物理学,1
电场,电磁辐射,0
接触力,摩擦力,0
电势,位移,1
电磁波谱,场 (物理),1
声爆,激波,0
物理学,光电效应,0
光的反射定律,距离,0
勒萨吉重力理论,运动 (物理学),1
电容,电荷,1
能量,距离,0
能量,引力场,0
能量,折射,0
折射率,色散 (光学),0
电场,能量,1
电磁波谱,能量,1
电势,电场,1
向量,标量 (数学),0
电压,能量,0
库仑定律,电磁辐射,0
电场,距离,0
速率,温度,0
距离,势能,0
速率,相对速度,0
发射光谱,力,1
电磁辐射,能级,0
电势,向量,1
张力,势能,0
勒萨吉重力理论,行星,0
电压,欧姆定律,0
杠杆,功,0
功,机械能,0
功,长度,0
振幅,几何光学,0
胡克定律,张力,0
场线,引力场,0
磁,电压,0
光电效应,电磁波谱,0
光,全内反射,0
电磁辐射,频率,0
静电学,库仑,0
导体,电容,0
波长,驻波,0
力,库仑,0
引力场,力,1
波,光的反射定律,0
重力加速度,加速度,1
速率,多普勒效应,0
定向 (几何),距离,0
物理学,静电学,0
物理学,磁,0
波长,发射光谱,0
磁场,运动方程,0
频率,发射光谱,0
弹性 (物理学),势能,0
电势,势能,1
勒萨吉重力理论,温度,0
激光器,物理学,0
物理学,正向力,0
电子,速度,0
定向 (几何),向量,0
电流,绝缘体,0
物理学,运动方程,0
加速度,正向力,0
材料力学,物理学,1
运动 (物理学),电势,0
功,千克,0
碰撞,弹性碰撞,0
势能,动能,0
物理学,牛顿运动定律,0
机械能,速度,1
电容,力,0
速率,机械能,0
电动势,场 (物理),1
散射,能量,0
场线,速度,0
物理学,材料力学,0
干涉 (物理学),长度,0
金属疲劳,材料力学,0
杠杆,距离,0
电磁辐射,场 (物理),1
电压,电子,0
距离,功,0
折射,折射率,0
波长,振幅,0
弹性 (物理学),金属疲劳,0
库仑定律,力,0
势能,弹性碰撞,0
弹性碰撞,速率,1
万有引力定律,库仑定律,0
焦耳,电压,0
相对速度,运动 (物理学),1
电磁波谱,长度,0
电势,质量,0
自由落体,力,1
色素,减色法,0
引力场,引力,1
材料力学,断裂,1
碰撞,距离,0
波,速率,0
电势能,库仑定律,1
电势,电子,0
质量,行星,0
电势能,向量,1
折射率,长度,0
电势,电势能,1
地球引力,质量,1
介电质,色散 (光学),0
加速度,距离,1
波峰,波,1
波,声爆,0
衍射,电子,0
位移,向量,1
场线,电容,0
位移,电势能,0
刚度,物理学,1
几何光学,衍射,0
质量,库仑,0
碰撞,物理学,1
磁,能量,0
折射率,能量,0
激波,速率,1
引力,正向力,0
运动方程,速率,1
牛顿运动定律,千克,0
色散 (光学),波,1
物理学,非弹性碰撞,0
牛顿运动定律,力,1
物理学,万有引力常数,0
塑性变形,金属疲劳,0
摩擦力,机械能,0
运动 (物理学),引力,0
正向力,接触力,1
静电学,位移,1
自由落体,距离,1
折射率,全内反射,0
电压,势能,0
波,运动方程,0
惠更斯－菲涅耳原理,频率,0
万有引力定律,质量,0
斯涅尔定律,长度,0
电场,势能,0
电子,能量,0
电磁辐射,电磁波谱,0
加速度,千克,0
物理学,磁场,0
运动 (物理学),场 (物理),0
加速度,重力加速度,0
加速度,磁场,0
运动 (物理学),电势能,0
硬度,刚度,0
电子,光电效应,0
静电学,物理学,1
重力加速度,势能,0
光,米 (单位),0
力,运动方程,0
赫兹,波长,0
惠更斯－菲涅耳原理,波长,0
电子,磁铁,0
多普勒效应,运动 (物理学),1
能量,胡克定律,0
地球引力,速率,1
摩擦力,隔离体图,0
电子,非弹性碰撞,0
发射光谱,质量,0
硬度,材料力学,1
折射率,物理学,1
色散 (光学),速度,0
胡克定律,能量,0
振幅,电流,0
向量,运动方程,0
物理学,张力,0
自由落体,速率,1
力,电势,0
运动 (物理学),折射率,0
弹性碰撞,势能,0
电压,静电学,0
磁场,静电学,0
电子,电阻,0
赫兹,频率,1
位移,机械能,0
能量,电场,0
波,散射,0
势能,力,1
质量,物理学,1
磁场,发射光谱,0
速率,引力场,0
正向力,摩擦力,0
物理学,声爆,0
电场,验电器,0
介电质,力矩,0
摩擦力,杠杆,0
折射,衍射,0
物理学,色散 (光学),0
运动方程,引力,0
硬度,断裂,1
电阻,焦耳,0
标量乘法,位置向量,0
场 (物理),电场,0
欧姆定律,磁场,0
能量,长度,0
电磁波谱,频率,1
势能,长度,0
弹性碰撞,运动 (物理学),1
向量,速度,0
赫兹,电磁辐射,0
电场,场 (物理),1
位置向量,功,0
电磁辐射,吸收光谱学,0
运动 (物理学),势能,0
干涉 (物理学),光学显微镜,0
光,几何光学,0
势能,位置向量,1
速率,惯性参考系,0
曲面镜,激光器,0
势能,运动 (物理学),1
发射光谱,吸收光谱学,0
距离,平抛运动,0
光电效应,长度,0
光电效应,频率,0
横波,运动方程,0
加速度,摩擦力,0
传输介质,物理学,1
光,光的反射定律,0
非弹性碰撞,能量,1
物理学,镜像 (几何),0
地球引力,距离,1
距离,激波,0
长度,胡克定律,0
电子,光学显微镜,0
波,势能,0
物理学,驻波,0
电场,介电质,0
胡克定律,力,1
功率,长度,0
速率,位移,0
反射 (物理学),光,1
激光器,色散 (光学),0
加速度,牛顿运动定律,0
库仑定律,电动势,0
引力场,正向力,0
库仑定律,场 (物理),0
光,射线,0
接触力,正向力,0
电势,能量,1
胡克定律,电场,0
距离,重力加速度,0
电压,自由落体,0
弹性碰撞,速度,1
机械能,质量,1
力,米 (单位),0
波,场 (物理),0
折射,速度,0
折射望远镜,引力,0
声音,声爆,0
杠杆,速度,0
电子,碰撞,0
光学显微镜,波长,0
库仑,电动势,0
绝缘体,电流,1
磁铁,波,0
干涉 (物理学),距离,0
平抛运动,力,1
力矩,力,1
波,电场,0
引力场,地球引力,0
摩擦力,能量,0
焦耳,质量,0
电势能,距离,1
加速度,长度,0
场 (物理),电磁辐射,0
加速度,地球引力,0
电子,质量,0
介电质,距离,0
电子,望远镜,0
电压表,验电器,0
向量,机械能,0
电子,库仑,0
硬度,结晶度,0
电子,电流,0
向量,物理学,0
平抛运动,加速度,1
向量,势能,0
驻波,波长,1
地球引力,米 (单位),0
场线,力,0
能级,衍射,0
电阻,欧姆计,0
速率,重力加速度,0
物理学,光的反射定律,0
电磁波谱,吸收光谱学,1
功,米 (单位),0
导体,电场,0
电压,电磁波谱,0
电压表,振幅,0
斯涅尔定律,折射望远镜,0
距离,接触力,0
机械能,能量,1
折射率,运动 (物理学),1
电压,运动方程,0
速率,横波,0
介电质,电流,1
张力,接触力,0
向量,位移,0
电流,功率,0
散射,激光器,0
磁铁,机械能,0
自由落体,位置向量,1
望远镜放大倍数,光学显微镜,0
波,驻波,0
电磁辐射,衍射,0
电子,物理学,0
几何光学,波长,0
